location,year,min(mdc),max(mdc),avg(mdc),stddev_samp(mdc),median
Coral Harbour,2016,0.010692398,0.137449115,0.03893325757142857,0.02633441896843972,0.032396943
Moncton,2011,0.020485631,0.051713887,0.034120277865384616,0.008652521177808972,0.033568504
RPB,2015,0.017728756,0.053853401,0.027381171680000004,0.00727391581248533,0.024502572
Ottawa,2012,0.021522743,0.055911807,0.031611309653846155,0.0070860504279767955,0.030229633
Charlottetown,2014,0.01856619,0.052117417,0.03041672385416667,0.007861256119757461,0.028420222
Churchill,2013,0.014209945,12.56827513,0.8147463315625001,3.134297177885037,0.036195768
Digby,2012,0.014738553,0.063652577,0.029384659083333334,0.008584672207701666,0.026767703
Greenwood,2014,0.021252767,0.042111171,0.0299688183076923,0.007161181898322614,0.027205651
Whitehorse,2010,0.013887394,0.078421886,0.0331845863125,0.012105001610641982,0.030508183
Calgary,2014,0.02068606,0.046427376,0.03199755057692307,0.007235635776519609,0.031844142
Iqaluit,2014,0.005230467,0.008623512,0.0071042495,0.001457700486194724,0.006785218
Moosonee,2017,0.024899876,0.04773382,0.03452403822222222,0.009585152323479394,0.028537992
Resolute,2015,0.009631089,0.06236587,0.03102718118639053,0.010442356291285221,0.027670604
Alert,2017,0.179610712,0.203981665,0.19260339599999998,0.012265422511117216,0.194217811
Goose Bay,2013,0.022868884,0.049263994,0.03456195775,0.007007157501505669,0.0381966
Halifax,2013,0.013706156,0.049746399,0.030555628980392158,0.007787850398891729,0.028188602
Resolute,2014,0.010482659,0.070392408,0.030652179354107672,0.009402291753464685,0.029017657
Goose Bay,2017,0.025424976,0.048312299,0.03657497277777777,0.009761288569874465,0.038993264
Kuujjuarapik,2015,0.008893183,0.053039295,0.03167614177272727,0.009277168994406495,0.031359056
Kuujjuarapik,2011,0.015643939,0.057398189,0.03322764473469388,0.009392935036107379,0.031414209
Port Hope,2014,0.020424145,0.041505891,0.030035632846153855,0.006506729631782183,0.027301194
Sidney,2017,0.018732554,0.043111754,0.02722645497260273,0.007399974648122612,0.024308728
Toronto,2016,0.020932218,0.054694628,0.03348756522448979,0.00908572241404258,0.028662133
Amherstburg,2013,0.004387904,0.041759024,0.023985846766666666,0.009104433659600088,0.02408705
Port Hope,2015,0.01902577,0.046926646,0.03200146073076923,0.008029366738509307,0.028931306
Churchill,2014,0.006233716,0.027056589,0.0166451525,0.014723994702086267,0.027056589
Inuvik,2014,0.02217576,0.063140803,0.032095564519230776,0.008151506581900865,0.02905067
RPB,2011,0.010876169,0.046856618,0.028094646313725487,0.007108323650426893,0.026835316
Coral Harbour,2010,0.026137317,0.100232348,0.06070806457142857,0.026575501033193203,0.063003063
Goose Bay,2015,0.023131337,0.054248763,0.03290387086538463,0.007953097316882155,0.027713651
Resolute,2009,0.011189161,0.060251285,0.027935947058479547,0.008749174783623526,0.024370012
Toronto,2010,0.021287249,0.047048925,0.03239348323076923,0.0071068045479023125,0.030633066
Montreal,2013,0.020138347,0.068424624,0.032352460000000006,0.009190595415982498,0.030537571
Alert_EnvCan,2011,0.012690493,1.760708519,0.40904071030769235,0.7393312725403579,0.019737081
Edmonton,2011,0.011465248,0.050987044,0.0314518378627451,0.007260853805615834,0.029314238
Kuujjuarapik,2012,0.019018972,0.063413053,0.03440623304347825,0.01043480161880509,0.031596589
Sidney,2014,0.01696574,0.059971102,0.027546573369145993,0.006592259675544307,0.026320571
Amherstburg,2012,0.005288899,0.04998624,0.023005267382882857,0.010007406591293367,0.022917058
Winnipeg,2015,0.021578356,0.051802745,0.0349213588627451,0.008551070911212988,0.032337217
Edmonton,2015,0.021072391,0.047159543,0.03120210782692307,0.007629412118138821,0.027485554
Sidney,2010,0.010007429,0.05157723,0.027283227564356437,0.008089095840870822,0.024637326
Vancouver,2010,0.015931955,0.055015294,0.03089800651111111,0.009632646568534575,0.03084118
Kuujjuarapik,2014,0.01666664,0.053450353,0.03001077153191489,0.008028262242582481,0.027664106
Inuvik,2011,0.022305294,0.057767193,0.03635743847058824,0.009131999085495498,0.033164282
Resolute,2013,0.006445345,0.045564266,0.026905357720364738,0.008405102209353041,0.025425135
Whitehorse,2011,0.010900775,0.154028792,0.03564133733333334,0.020221260543696627,0.030953447
Vancouver,2014,0.00802382,0.048816141,0.029717736545454544,0.009237443204521266,0.027458341
Port Hope,2009,0.020026082,0.078264136,0.03693147255555555,0.020379941182053416,0.027337479
Whitehorse,2009,0.015312871,0.097320561,0.03347546755999999,0.01563324403778646,0.028940713
Alert,2012,0.187855861,0.78793587,0.4300480530399998,0.15133750514966124,0.404685609
Greenwood,2013,0.021854482,0.047295532,0.034651009903846154,0.006869848426229947,0.036198134
Inuvik,2012,0.023915851,0.06966782,0.03612560211538463,0.009075420948441765,0.035503009
Montreal,2011,0.019942818,0.047609123,0.030869238653846148,0.007409266908197662,0.029633638
Ottawa,2009,0.019448989,0.065883272,0.030208104811320753,0.008780800970010294,0.026944583
RPB,2012,0.007802337,0.044022665,0.02901264070588236,0.007336990771213123,0.028678144
Resolute,2016,0.009459605,0.054453063,0.03070975025227963,0.008901631978810094,0.02928372
Halifax,2017,0.025553657,0.052651707,0.0387465553,0.009536328540956013,0.039690991
Amherstburg,2017,0.008732667,0.041784696,0.027019891611111117,0.00841036234025387,0.023564095
Ottawa,2010,0.0143078,0.04429918,0.02983961306,0.006896831487469396,0.028567925
Sidney,2013,0.011686068,0.062517855,0.027024430033333338,0.0067681606734827805,0.027766016
Greenwood,2011,0.019933455,0.048292448,0.03123650579166667,0.007365237651914273,0.030683309
Montreal,2010,0.020380316,0.045421984,0.031716218423076925,0.006704872240241723,0.029694565
Greenwood,2012,0.021182853,0.050711447,0.031947339339622634,0.007524696020533455,0.031501182
Winnipeg,2012,0.021626476,0.07058058,0.035015752509433964,0.009927863941661329,0.034515733
Calgary,2009,0.020051935,0.065252723,0.029799980115384612,0.009312570314833502,0.025668362
Regina,2010,0.0163026,0.059331847,0.03315219259574469,0.008217756772055532,0.03210772
Halifax,2012,0.014201912,0.05063687,0.03299062299999999,0.0074704376077070565,0.032912569
Charlottetown,2017,0.023211428,0.051295442,0.03307331922222222,0.010455244255852213,0.026491108
Halifax,2011,0.019286266,0.050853505,0.030441500439999995,0.007698139085017041,0.028352157
Alert,2011,0.193144122,0.965462465,0.4117028760384616,0.2093003716300587,0.320573687
